question,solution,chapter_name,question_type
"A man is walking on a level road at a speed of 3.0 km/h. Rain drops fall vertically with a speed of 4.0 km/h. Find the velocity of the raindrops with respect to the man.","Velocity of rain wrt man = V_rain - V_man. Since they are perpendicular (rain is vertical, man is horizontal), magnitude = sqrt(4.0^2 + 3.0^2) = 5.0 km/h. Angle with vertical theta where tan(theta) = 3/4.",Projectile Motion & Vector,subjective_long_requires_working
"A man walks at a speed of 6 km/hr for 1 km and 8 km/hr for the next 1 km. What is his average speed for the walk of 2 km?","Total distance = 2 km. Total time = (1/6) + (1/8) = 7/24 hr. Average speed = 2 / (7/24) = 48/7 approx 7 km/hr.",Rectilinear Motion,subjective_long_requires_working
"A teacher enters a classroom 40 ft wide at 12:00 noon, makes 10 rounds along the 40 ft wall back and forth, and leaves at 12:50 p.m. through the same door. Compute average speed and average velocity.","Total distance = 10 rounds * 2 ways * 40 ft = 800 ft (Wait, text says total distance is 800ft). Time = 50 min. Average speed = 800/50 = 16 ft/min. Displacement is 0 (started and ended at the same door). Average velocity = 0.",Rectilinear Motion,subjective_long_requires_working
"The position of a particle moving on X-axis is given by x = At^3 + Bt^2 + Ct + D with A=1, B=4, C=-2, D=5. Find (a) dimensions of constants, (b) velocity at t=4s, (c) acceleration at t=4s, (d) average velocity 0-4s, (e) average acceleration 0-4s.","(a) All have dimension of Length [L] but coefficients imply [A]=LT^-3, [B]=LT^-2, [C]=LT^-1, [D]=L. (b) v = dx/dt = 3t^2 + 8t - 2. At t=4, v = 3(16)+8(4)-2 = 78 m/s. (c) a = dv/dt = 6t + 8. At t=4, a = 24+8 = 32 m/s^2. (d) x(0)=5, x(4)=1(64)+4(16)-2(4)+5=125. Disp=120m. Avg Vel = 120/4 = 30 m/s. (e) v(0)=-2, v(4)=78. Avg Acc = (78 - (-2))/4 = 20 m/s^2.",Rectilinear Motion,subjective_long_requires_working
"From the velocity-time graph of a particle (Fig 3-W1), find (a) distance 0-2s, (b) distance 2-4s, (c) distance 0-4s, (d) displacement 0-4s. [Figure Description: v-t graph forms two triangles. Triangle 1 (0-2s) is positive with peak at 10m/s. Triangle 2 (2-4s) is negative with peak at -10m/s.]","(a) Distance 0-2s = Area of first triangle = 0.5 * 2 * 10 = 10 m. (b) Distance 2-4s = Area of second triangle = 0.5 * 2 * 10 = 10 m. (c) Total distance = 10 + 10 = 20 m. (d) Displacement = Area 1 - Area 2 = 10 - 10 = 0 m.",Rectilinear Motion,subjective_long_requires_working
"A particle starts from rest with constant acceleration. At time t, speed is 100 m/s. One second later, speed is 150 m/s. Find (a) acceleration, (b) distance during the (t+1)th second.","(a) v = u + at -> 100 = a*t. 150 = a*(t+1). Subtracting: a = 50 m/s^2. (b) During the interval t to t+1 (duration 1s), initial velocity is 100 m/s. x = ut + 0.5at^2 = 100(1) + 0.5(50)(1)^2 = 100 + 25 = 125 m.",Rectilinear Motion,subjective_long_requires_working
"A stone accelerates over 24 cm in a catapult and leaves with speed 2.2 m/s. Find the acceleration assuming it is constant.","u = 0, v = 2.2 m/s, x = 0.24 m. v^2 = u^2 + 2ax -> 2.2^2 = 0 + 2a(0.24). a = 4.84 / 0.48 = 10.1 m/s^2.",Rectilinear Motion,subjective_long_requires_working
"A police jeep (speed v) chases a motorcycle starting from rest (accel a) when separated by distance d. Show pickpocket is caught if v >= sqrt(2ad).","Jeep dist = vt. Bike dist = 0.5at^2. Catch implies vt = d + 0.5at^2. Rearranging: 0.5at^2 - vt + d = 0. For real time t, discriminant must be non-negative: (-v)^2 - 4(0.5a)(d) >= 0. v^2 >= 2ad -> v >= sqrt(2ad).",Rectilinear Motion,subjective_long_requires_working
"A fly flies at 100 km/h back and forth between a wall and a car (speed 40 km/h) starting 20 km away. Calculate total distance fly travels before car hits wall.","Car time to wall = Distance/Speed = 20/40 = 0.5 hr. Fly flies continuously for this 0.5 hr. Distance = Speed * Time = 100 * 0.5 = 50 km.",Rectilinear Motion,subjective_long_requires_working
"A ball is dropped from 196 m. Rebounds to same height. Draw plots. [Note: solution text discusses motion with t=2s for drop, implying height 19.6m not 196m].","Downward motion: x = 4.9t^2. Reaches ground at t=2s (implies h=19.6m). Velocity at impact v = 9.8*2 = 19.6 m/s. Rebounds with -19.6 m/s. Reaches top at t=4s. x-t graph is parabolic. v-t graph is linear sawtooth. a-t is constant g.",Rectilinear Motion,subjective_short_theory_only
"A stone dropped from a balloon going up at 5.0 m/s from height 50 m. Find height of balloon when stone hits ground.","Stone motion: u = +5, x = -50, a = -10. -50 = 5t - 5t^2. t^2 - t - 10 = 0. t approx 3.7 s. Balloon moves up 5 * 3.7 = 18.5 m. Total height = 50 + 18.5 = 68.5 m.",Rectilinear Motion,subjective_long_requires_working
"Football kicked at 20 m/s at 45 degrees. Find (a) time of flight, (b) max height, (c) range.","(a) T = 2*u*sin(45)/g = 2*20*0.707/10 = 2.8 s. (b) H = (u*sin45)^2 / 2g = (10*sqrt(2))^2 / 20 = 10 m. (c) R = u*cos(45) * T = 10*sqrt(2) * 2.8 = 40 m.",Projectile Motion & Vector,subjective_long_requires_working
"Helicopter flying horizontally with speed u at altitude H drops food. Distance from victim to drop point?","Vertical time t = sqrt(2H/g). Horizontal distance D = ut = u*sqrt(2H/g). Distance from victim (hypotenuse) = sqrt(H^2 + D^2) = sqrt(H^2 + 2u^2H/g).",Projectile Motion & Vector,subjective_long_requires_working
"Projectile fired horizontally with speed u from top of incline angle theta. How far along incline does it hit?","Using coordinates parallel/perp to incline or x/y. Result: Distance L = (2u^2 tan(theta) sec(theta)) / g.",Projectile Motion & Vector,subjective_long_requires_working
"Projectile fired with speed u at angle theta. Find speed when direction makes angle alpha.","Horizontal component is constant. u cos(theta) = v cos(alpha). v = u cos(theta) sec(alpha).",Projectile Motion & Vector,subjective_long_requires_working
"Man swims 3 km/h in still water, river flows 2 km/h. To cross directly opposite, find angle and time (width 500m).","(a) sin(theta) = V_river / V_man = 2/3. Angle theta with vertical upstream. (b) Resultant speed = sqrt(3^2 - 2^2) = sqrt(5). Time = 0.5 / sqrt(5) hr.",Projectile Motion & Vector,subjective_long_requires_working
"Man swims 3 km/h, river 2 km/h. He keeps angle 120 degrees with flow. Find time and drift (width 500m).","Angle with vertical = 30 degrees upstream. Vy = 3 cos(30) = 1.5*sqrt(3). Time = 0.5 / (1.5*sqrt(3)). Drift: Vx = 2 - 3 sin(30) = 0.5. Dist = Vx * Time.",Projectile Motion & Vector,subjective_long_requires_working
"Man holds umbrella at 30 degrees standing. Runs at 10 km/h, rain appears vertical. Find rain speed.","Horizontal component of rain velocity matches man's running speed = 10 km/h. V_rain * sin(30) = 10. V_rain = 20 km/h.",Projectile Motion & Vector,subjective_long_requires_working
"Man runs at 8 km/h, rain appears vertical. Runs at 12 km/h, rain at 30 degrees. Find rain speed/direction.","(1) V_rain_x = 8. (2) Relative x at 12 km/h is 8-12 = -4. tan(30) = 4 / V_rain_y -> V_rain_y = 4*sqrt(3). Total V = sqrt(8^2 + (4sqrt(3))^2) = 4*sqrt(7) km/h.",Projectile Motion & Vector,subjective_long_requires_working
"Three particles at vertices of equilateral triangle (side d) move with speed v towards each other (A to B, B to C...). When do they meet?","Relative velocity approach = v + v cos(60) = 1.5v. Time = distance / relative speed = d / 1.5v = 2d / 3v.",Rectilinear Motion,subjective_long_requires_working
